編號,問題,答案
171,哪些地方可以使用Samsung Pay?,SamsungPay專有的磁條感應（MST）技術或近場無線通訊(NFC)付款技術，讓用戶能夠使用感應式付款。因此Samsung手機用戶在幾乎所有的刷卡機器皆可進行安全的交易。
172,Samsung Pay適用裝置?,支援SamsungPay手機型號，請以https://www.samsung.com/tw/samsungpay/?cid=TW_ppc_yahoo_samsungpay_20170601_galax%20ys6samsungpay__text__%E6%89%8B%E6%A9%9F%E5%9E%8B%E8%99%9F_S6_samsungpay_MobileDevices>Samsung官網<說明為主。
173,如何設定Samsung Pay?,"1.手機軟體更新最新的Android版本。2.於應用程式列表找到SamsungPay。※GalaxyS8、Note8與後續機種：已預載於手機，不需系統更新。※其他型號：請點選「設定」→「軟體更新」,按「手動下載更新」3.點選SamsungPay圖示，安裝應用程式。4.登入您的三星帳號即可無所不Pay。"
174,如何在Samsung Pay中加入中信卡?,1.進入SamsungPayAPP，點選右下方進入登入按鈕，並輸入已註冊的三星帳戶。2.可選擇使用虹膜、指紋或註冊四位數字密碼作為身份驗證方式。3.可透過相機自動辨識卡片內容，亦可手動方式輸入信用卡號、到期日及安全碼等資訊。4.透過簡訊OTP來驗證您的信用卡；請在指定時限內，輸入簡訊內驗證碼完成驗證。5.請以手指輸入與該信用卡卡背相同之簽名。
175,那些中信卡可以綁定Samsung Pay?,限持本行Visa、MasterCard卡片（含信用卡、簽帳金融卡）綁定SamsungPay(不含JCB卡、AE卡、公司卡)。
176,LINE Points回饋方式說明,2019LINEPay卡LINEPoints回饋計畫分為4大類型：1.海外消費享2.8%回饋(限信用卡)，天天回饋無上限。2.一般消費享1%回饋(排除本行官網公告不適用回饋項目)。3.一卡通票證加碼1%(一卡通儲值金支付全臺大眾交通費用，高鐵不適用)。4.十大品牌，加碼回饋最高享15%，各商店回饋細項說明→https://www.ctbcbank.com/tw/html/long/creditcard/LINEPay/stores.html>請點此<
177,LINE Points點數回饋時效,1.海外消費2.8%回饋(限信用卡)和一般消費1%回饋，點數將於商店請款後5個營業日撥入LINEPay卡綁定之LINE會員帳戶，回饋點數為「一般點數」，由LINEPay計算後四捨五入入點，相關資訊可於LINEPOINTS內「一般點數」查詢。2.LINEPOINTS額外加碼回饋點數將於合作商店請款後90天內發送完畢(Hotels.com為實際完成入住後90天內完成入點，ShopBack請詳https://www.ctbcbank.com/tw/html/long/creditcard/LINEPay/index.html#section-shopbacktarget=_blank>ShopBack專區說明<)，額外加碼回饋點數以各合作商店之額外加碼回饋率乘以結帳金額後四捨五入入點，回饋點數為「一般點數」，效期180天，相關資訊可於LINEPOINTS內「一般點數」查詢。※屈臣氏/愛買/STUDIOA/大苑子/秀泰影城(不含LINEPay條碼支付/基隆、花蓮、台東秀泰影城/今日、東南亞、板橋秀泰影城的自助購票機)於108/4/1起、TRUEYOGAFITNESS(不含TRUEGROUP)自108/4/12起，消費入帳之LINEPOINTS加碼回饋點數將併同一般消費1%回饋於合作商店請款後5個營業日撥入LINEPay卡綁定之LINE會員帳戶，回饋點數為「一般點數」，由LINEPay計算後四捨五入入點，相關資訊可於LINEPOINTS內「一般點數」查詢，其餘仍為90天內入帳。愛買、TRUEYOGA加碼回饋活動期間至108/6/30日止。3.一卡通票證加碼1%(每100元給1點，點數4捨5入計算)：一卡通會依據前一個月1~31日的交通消費明細來給點，LINEPay於每月5號將上月獲得點數入點至LINEPay帳戶。※一卡通給檔日期1~31日的累計金額計算（因通路交易資料回傳會延誤2-3天，不是消費者交易日在1日~31日，所以檔案內可能包含前月底28.29.30日的交易內容）。※2019/5/8起透過LINEPay卡刷卡回饋入點之LINEPoints將改以『一般點數』回饋。
178,LINE Points「一般點數」與「限時點數」的差異？,「一般點數」為LINEPay卡額外加碼回饋，且自獲得點數日起算180天內有效，。「限時點數」為參與特定活動所獲得之點數，效期計算方式需以活動內容說明為主，目前僅限台灣地區用戶使用。
179,LINE Pay卡是否要綁定LINE Pay才有回饋?,LINEPay卡需於首次刷卡前綁定LINEPay才能獲得LINEPoints回饋，但沒有限一定要用LINEPay條碼支付，刷實體卡一樣可獲得LINEPoints回饋。
180,LINE Points有使用期限嗎?,自2019/5/8起，透過LINEPay聯名卡消費獲得的LINEPoints回饋，將由「限時點數」改以「一般點數」，效期延長，將依據您最後一筆的消費入點日「往後起算180天」，只要您持續使用中國信託LINEPay卡，點數不斷累積，效期將自動展延，毋須擔心點數會失效。※2019/5/8前所獲得的未使用且未過期失效的限時點數，將自動於2018/5/800:00起合併至一般點數。※有關LINEPay卡累積的LINEPoints點數之使用規範及相關權利義務，皆依據LINEPay卡制定之規定，詳細內容以LINE官方公告為準。
181,如何查詢LINE Points點數?,查詢LINEPoints累積點數，您可透過LINEAPP主畫面點選「錢包」→「LINEPoints」→頁面上方的「歷史記錄」即可查詢。
182,LINE Points點數到期前是否會有通知?,如您有即將到期的LINEPoints限時點數，會由LINEPointsteam發送推播通知，提醒用戶記得前往使用。發送時間為：1.有7天內即將到期限時點數。2.有近30天到期的限時點數，且於每週五推播通知。※您可透過LINEAPP的「LINEPoints記錄」→「限時點數」下方點選灰色字體「其中30天內失效點數」，即可看到預計到期點數量及該點數的效期資訊。
183,如何查詢LINE Points點數折抵商店?,您在以下商店開啟LINEPay「我的條碼」，勾選開啟點數支付功能，就可以使用LINEPoints點數折抵優惠。商店名稱：台北101、新光三越、GlobalMall環球購物中心、Miramar美麗華百樂園、便利超商(7-ELEVEn、FamilyMart全家便利商店、萊爾富)…等，更多合作商店請使用手機開啟LINEAPP→點選LINE錢包→LINEPay→合作通路，即可查詢到。
184,LINE Pay卡掛失換卡，已刷卡尚未請款消費的LINE Points是否會回饋? ,請您放心，請先不要刪除原LINEPay卡綁定，待交易入帳時就可收到該筆款項LINEPoints點數回饋。
185,LINE Pay卡解除綁定，已獲得的LINE Points會不見嗎?,請您放心，LINEPay卡解除綁定不會影響已入點之LINEPoints。
186,中信LINE Pay卡消費不適用回饋的商店,使用中國信託LINEPay信用卡及中國信託LINEPay簽帳金融卡刷卡消費將不再累積紅利點數，亦不適用本行『刷卡得利計畫』、『中信紅利商店計畫』及現金回饋計劃等活動辦法，且繳付消費以下項目，不予計算LINEPoints點數積點：(1)扣繳信用卡年費、利息、預借現金、逾期還款違約金，以及依「中國信託信用卡約定條款」約定之其他各項手續費。(2)刷卡買基金、賭博籌碼或旅行支票之相關交易金額及費用。(3)繳學費、各項稅款、社區管理費、違規罰緩及政府規費。(4)分期靈活金、帳單分期、分期付款交易。(5)儲值電子票證之自動儲值金。(6)eTag儲值與eTag智慧停車費用之扣繳。(7)代扣繳各項公用事業費用(包含台電、省水、市水、瓦斯、各縣市路邊停車費等)、中華電信各項電信費用及健保費(區公所加保)。(8)透過中信卡優惠、中信HomeBank及網路銀行繳納各項公用事業費用及電信費。(9)透過各繳費及支付平台，(包含但不限於有無繳納手續費之i繳費、醫指付APP、全國繳費網平台、電子化繳費稅處理平台、公務機關信用卡繳費平台等)繳納之各項費用。(10)繳納公務機關費用或公立醫療機構之醫療服務(但醫美整形、產後護理或健康檢查等費用則不在此限)。→例:市立忠孝醫院的健檢費用若是使用第9項的任一方式支付，一樣無法獲得回饋，倘該公立醫院的健檢費用刷卡不是使用第9項的任一方式支付，就會獲得回饋。(11)全聯福利中心消費。(12)便利商店(如7-11、全家、萊爾富、OK超商)消費。(13)透過聯合信用卡處理中心小額支付平台之特約商店之消費(如便利超商、速食店、停車費等行業)。(14)透過Pi行動錢包連結信用卡付款之各型態消費(如於統一超商使用Pi行動錢包付款)。(15)特定行銷專案或其他經本行公告不回饋之項目。
187,LINE Points如何兌換商品券?,LINEPoints可在實體或網路商店消費時使用。如欲兌換商品券，您可透過LINEAPP的「LINEPoints」點選「使用」後，即可瀏覽推薦類別「兌換」、「商品」、「抵用券」、「其它選擇」…等。※實際可兌換項目以LINE公司公告為準。
188,紅利點數可以兌換什麼?,紅利點數可以兌換的類別很多，舉例說明如下~1.百貨商店即時折抵消費金額，完整百貨商店及折抵比例→https://www.ctbcbank.com/html/201912/NB2018122426-31/index.html>請點此<2.兌換哩程，配合的航空公司有長榮、華夏、亞洲萬里通、新航等，詳細兌換流程及注意事項→https://www.ctbcbank.com/html/long/creditcard/CNB2017010407/p1.html>請點此<3.兌換紅利商品至「利樂紅利網」→https://www.relo.com.tw/relo/ctbccreditlogin.aspx>請點此<，註冊成為會員後進行兌換或即享券(如:百貨公司商品券、餐券)，至「https://shop.ticketxpress.com.tw/822>TicketXpress即享券商城<」，註冊成為會員後進行兌換。4.紅利點數變愛心捐款，詳細兌換流程及注意事項→https://www.ctbcbank.com/html/long/creditcard/CNB2016120115/index.html>請點此<5.兌換7-ELEVEn商品，可利用「中國信託ATM」、「中信卡優惠APP」、「Ibon機台」及「IbonAPP」方式來進行兌換，詳細流程→https://www.ctbcbank.com/html/ATM/7-11bonus/info3.html>請點此<。
189,請問紅利點數回饋方式為何？,"使用具參加資格之信用卡消費，當月帳單新增符合回饋之消費金額滿NT3,000元(含)以上，單筆消費金額每滿NT30元即可自動累積一點，但單筆消費金額未滿NT30元者，或非回饋點數之消費均不予計算點數積點且不計入當月帳單新增消費門檻中。但您若申辦電子帳單、行動帳單或申辦自動扣繳，則不受當月帳單新增消費金額滿NT3,000元(含)之限制。"
190,哪些消費不計入紅利點數回饋?,一般消費都有會回饋紅利點數，除下列項目不予計算積點：1.扣繳信用卡年費、利息、預借現金、逾期還款違約金，以及依「中國信託信用卡約定條款」約定之其他各項手續費。2.刷卡買基金、賭博籌碼或旅行支票之相關交易金額及費用。3.繳學費、各項稅款、社區管理費、違規罰緩及政府規費。4.分期靈活金、帳單分期、分期付款交易。5.儲值電子票證之自動儲值金。6.eTag儲值與eTag智慧停車費用之扣繳。7.代扣繳各項公用事業費用(包含台電、省水、市水、瓦斯、各縣市路邊停車費等)、中華電信各項電信費用及健保費(區公所加保)。8.透過中信卡優惠、中信HomeBank及網路銀行繳納各項公用事業費用及電信費。9.透過各繳費及支付平台，(包含但不限於有無繳納手續費之i繳費、醫指付APP、全國繳費網平台、電子化繳費稅處理平台、公務機關信用卡繳費平台等)繳納之各項費用。10.繳納公務機關費用或公立醫療機構之醫療服務(但醫美整形、產後護理或健康檢查等費用則不在此限)。11.全聯福利中心消費。12.便利商店(如7-11、全家、萊爾富、OK超商)消費。13.透過聯合信用卡處理中心小額支付平台之特約商店之消費(如便利超商、速食店、停車費等行業)。14.透過Pi行動錢包連結信用卡付款之各型態消費(如於統一超商使用Pi行動錢包付款)。15.特定行銷專案或其他經本行公告不回饋之項目。
191,刷卡後何時可以獲得紅利點數？,當月帳單中獲得之紅利點數，將統一於當月帳單結帳日結算計入，持卡人於結算日起算二個營業日後始得動支點數。
192,ANA哩程點數如何回饋？,1.一般消費(排除不回饋消費)：極緻卡特別加碼每NT20元(原NT25元)晶緻卡、商務御璽卡每NT30元白金卡、御璽卡每NT40元累積1點ANA哩程點數。2.海外消費(108/12/31前特別加碼)：極緻卡每NT10元晶緻卡、商務御璽卡每NT15元白金卡、御璽卡每NT30元，累積1點ANA哩程點數。※ANA哩程點數正附卡合併回饋，計算至整數，小數點後不予計算，回饋無上限。
193,ANA哩程點數兌換方式？,"1.語音兌換路徑：撥打語音專線02-2171-1130→按2哩程移轉及點數折抵→輸入卡號及生日→按5哩程酬賓移轉→按5航空公司聯名卡兌換哩程→選擇ANA聯名卡2.網銀兌換路徑：登入網路銀行→點數專區→點數/回饋金兌換→哩程兌換→ANA哩程點數，立即兌換→https://ctbc.tw/CA2010>請點我<※每1哩ANA哩程點數可兌換1哩ANA哩程俱樂部哩程，且限正卡持卡人兌換，每次最少兌換數為100點，最大兌換數為99,999點。正卡持卡人須同時具備ANA哩程俱樂部會員資格方得完成兌換作業，本行轉出後約６個工作天後，客戶可於ANA網站查詢。"
194,ANA哩程點數的期限是？,每月新增的ANA哩程點數，將於二年後的年底最後一個工作日到期歸零失效。
195,大中華卡哩程點數如何回饋？,1.人民幣消費：無限卡及商務御璽卡NT11元回饋1哩、御璽卡NT23元回饋1哩2.其他外幣消費：無限卡NT12元回饋1哩、商務御璽卡NT15元回饋1哩、御璽卡NT25元回饋1哩3.台幣消費：無限卡NT22元回饋1哩、商務御璽卡NT23元回饋1哩、御璽卡NT30元回饋1哩
196,大中華卡哩程點數兌換方式？,哩程點數須經正卡人向本行申請兌換大中華攜手飛聯名卡之中華航空、東方航空、南方航空、廈門航空哩程(積分)。移轉後之相關使用規範依據各航空公司辦理，立即兌換→https://ctbc.tw/CA1310>請點我<
197,大中華卡哩程點數的期限是？,大中華攜手飛聯名卡所累積之哩程點數未經兌換者，將於卡片效期到期(五年)或卡片失效(註銷)後，將自動失效。
198,哪些消費不回饋大中華/ANA哩程數？ ,1.扣繳信用卡年費、利息、預借現金、逾期還款違約金，以及依「中國信託信用卡約定條款」約定之其他各項手續費。2.刷卡買基金、賭博籌碼或旅行支票之相關交易金額及費用。3.繳學費、各項稅款、社區管理費、違規罰緩及政府規費。4.分期靈活金、帳單分期、分期付款交易。5.儲值電子票證之自動儲值金。6.eTag儲值與eTag智慧停車費用之扣繳。7.代扣繳各項公用事業費用(包含台電、省水、市水、瓦斯、各縣市路邊停車費等)、中華電信各項電信費用及健保費(區公所加保)。8.透過中信卡優惠、中信HomeBank及網路銀行繳納各項公用事業費用及電信費。9.透過各繳費及支付平台，(包含但不限於有無繳納手續費之i繳費、醫指付APP、全國繳費網平台、電子化繳費稅處理平台、公務機關信用卡繳費平台等)繳納之各項費用。10.繳納公務機關費用或公立醫療機構之醫療服務(但醫美整形、產後護理或健康檢查等費用則不在此限)。11.全聯福利中心消費。12.便利商店(如7-11、全家、萊爾富、OK超商)消費。13.透過聯合信用卡處理中心小額支付平台之特約商店之消費(如便利超商、速食店、停車費等行業)。14.透過Pi行動錢包連結信用卡付款之各型態消費(如於統一超商使用Pi行動錢包付款)。15.特定行銷專案或其他經本行公告不回饋之項目。
199,現金回饋何時結算？在帳單上如何列示？,在每月結帳時統一計算回饋金，折抵次期帳單消費，帳單明細呈現「現金回饋帳單抵用」。
200,回饋金有使用期限嗎？,回饋金沒有使用期限，只要您名下仍有流通信用卡，持續消費即可折抵使用。
201,現金回饋的適用卡別有哪些？,現金回饋卡卡別包含：鼎極世界卡、鈦金卡(含鈦有利)、現金回饋御璽卡、寰遊美國運通卡、Superlife卡、鈦金國旅卡、台幣商務卡(僅國外消費)，商旅鈦金卡(108年4月發行之新卡)。
202,那些消費無法獲得現金回饋?,現金回饋或年度回饋金(以下簡稱回饋金)加碼限計算新增之一般消費(商務卡另限國外消費)，但不包含1.扣繳信用卡年費、利息、預借現金、逾期還款違約金，以及依「中國信託信用卡約定條款」約定之其他各項手續費。2.刷卡買基金、賭博籌碼或旅行支票之相關交易金額及費用。3.繳學費、各項稅款、社區管理費、違規罰緩及政府規費。4.分期靈活金、帳單分期、分期付款交易。5.儲值電子票證之自動儲值金。6.eTag儲值與eTag智慧停車費用之扣繳。7.代扣繳各項公用事業費用(包含台電、省水、市水、瓦斯、各縣市路邊停車費等)、中華電信各項電信費用及健保費(區公所加保)。8.透過中信卡優惠、中信HomeBank及網路銀行繳納各項公用事業費用及電信費。9.透過各繳費及支付平台，(包含但不限於有無繳納手續費之i繳費、醫指付APP、全國繳費網平台、電子化繳費稅處理平台、公務機關信用卡繳費平台等)繳納之各項費用。10.繳納公務機關費用或公立醫療機構之醫療服務(但醫美整形、產後護理或健康檢查等費用則不在此限)。11.全聯福利中心消費。12.便利商店(如7-11、全家、萊爾富、OK超商)消費。13.透過聯合信用卡處理中心小額支付平台之特約商店之消費(如便利超商、速食店、停車費等行業)。14.透過Pi行動錢包連結信用卡付款之各型態消費(如於統一超商使用Pi行動錢包付款)。15.特定行銷專案或其他經本行公告不回饋之項目。
203,使用機場貴賓室需要預約嗎？,只要您符合使用優惠資格及消費條件，即可直接前往本行合作之國內外貴賓室，但為維持貴賓室使用品質，貴賓室人員將視貴賓室使用狀況而調整進入貴賓室人數。1.台灣地區配合貴賓室：出示個人中信信用卡過卡使用。2.海外貴賓室：直接出示APP虛擬龍騰卡或實體龍騰卡，無需出示中信信用卡。
204,如何申請龍騰卡？需要準備甚麼資料嗎？,歡迎申請成為龍騰卡會員，龍騰卡申請是由肯驛國際客服協助申請，請先準備您的信用卡、護照英文姓名、出生月日及手機號碼，您可透過以下2種方式申請：1.網站申請：中信龍騰卡網站2.電話申請：肯驛客服(04)2206-8195※服務人員會依您提供資料進行確認及發卡，使用及收費方式依中信各卡權益規範為準→https://www.freeliving.com.tw/dragonpass/ctbc/index.htmltarget=_blank>請點此<。
205,請問目前中國信託配合的機場貴賓室？ ,台灣地區：1.桃園機場→龍騰卡餐飲、環亞貴賓室及華航貴賓室2.台中機場→龍騰卡餐飲3.高雄小港機場→龍騰卡餐飲及華航貴賓室海外地區：現場需出示APP虛擬龍騰卡或實體龍騰卡方得使用。海外可於龍騰卡貴賓室使用，全球超過800個機場貴賓室可使用休憩。※國內／外貴賓室位置查詢→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_viproom.htmltarget=_blank>請點此<。
206,請問可以同一天進去同一個機場貴賓室兩次嗎？,很抱歉，於同一機場，持卡人每天僅可使用一次。
207,請問機場貴賓室，可以攜帶小孩免費使用嗎？,因各地機場貴賓室之經營權及維護作業均由各機場貴賓室負責，本行無經營管理權，如各地機場貴賓室所提供之設備、攜伴人數及年齡限制、開放時間或免費使用規定變動，請依現場所示。
208,請問機場貴賓室攜伴費用是多少？,機場貴賓室服務限提供持卡人本人使用，如欲攜伴同行賓客不論是孩童或大人，每位每次享優惠價750元，且自持卡人本人之信用卡帳單中收取攜伴費用，攜伴人數及年齡限制以貴賓室現場所示。※更多說明請參閱本行官網→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_viproom.htmltarget=_blank>請點此<
209,機場貴賓室服務使用資格？,108/1/1～108/12/31適用期間，符合以下任一項刷卡門檻即可使用：1.90天內刷機票／團費單筆達2萬元以上。2.近一個月帳單新增消費金額達2萬元以上。3.近3個月帳單累計新增消費金額達10萬元以上。4.近12個月帳單累計新增金額(不含綜所稅)達60萬元以上。※適用的信用卡及使用次數說明，可參考本行官網→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_viproom.htmltarget=_blank>請點此<
210,信用卡旅平險要如何才能享有保障？,您只須以本行之VISA、MASTER、JCB及AE卡之正附卡刷卡支付公共運輸工具全部費用或參加旅行團刷卡支付80%以上之團費，毋須事先辦理任何手續，即可免費享有本項保險；公共運輸工具若為飛機，機票金額包含機場稅及兵險，不另行扣除計算。
211,請問信用卡旅平險投保的保險公司為何？,理賠單位：台壽保產物保險股份有限公司，官方網站→https://www.tlg-insurance.com/target=_blank>請點此<、24小時客戶服務電話：0800-882-868。
212,請問旅遊保險的保障對象是？,本保險適用於持卡人本人、配偶及受扶養未滿25足歲之未婚子女(不限同行)；若未滿25足歲之子女已結婚又離婚，是無法獲得理賠。
213,如何查詢信用卡旅平險保額？,"1.商務世界卡/鼎極卡/大中華攜手飛聯名卡/公司卡/商務卡/ANA極緻卡/ANA晶緻卡：5,000萬元。2.商旅卡：4,000萬元。3.ANA御璽卡/ANA白金卡：3,000萬元。4.鈦金卡/御璽卡/寰遊美國運通卡/晶緻卡/白金卡/國民旅遊卡：2,000萬元。5.金卡：1,200萬元。6.普卡/簽帳金融卡：450萬元。"
214,何謂信用卡旅遊平安險?,1.被保險人(持卡人、其配偶及受其扶養且未滿25足歲之未婚子女)以信用卡支付全部公共運輸工具票款或百分之八十以上團費者。「公共運輸工具」指經當地政府登記許可，行駛於固定航、路線之商用客機或水、陸上公共交通工具。2.被保險人以有效之承保信用卡支付全部票款搭乘或上下公共運輸工具期間。3.於飛機原訂起飛前五小時或實際起飛前五小時使用交通工具前往機場期間。4.於機場內。5.於飛機抵達機場後五小時內，使用交通工具離開機場期間。6.其餘詳細注意事項，請參考本行官網說明→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_ins_travel.html;jsessionid=WE-_-lWxKgx45cSzYMsxOBx4FgpiEm8nHTrahvcCqnLWWrwKavE4!423180583?id=TW_RB_CM_creditcard_000045target=_blank>請點此<
215,所謂公共運輸工具是指哪些？,「公共運輸工具」係指當地政府登記許可，行駛於固定航路線並以大眾運輸提供旅客運送為目的之商用客機或水陸上公共交通工具，如：飛機、火車、高鐵、渡輪、統聯客運、國光客運...等，但不含公車。除上述所提之公共運輸工具外，其餘如：遊覽車、計程車、摩托車、腳踏車、三輪車、遊輪、直昇機、纜車...等皆非公共運輸工具。
216,出國旅遊包機，有保障嗎？,旅遊不便保險及公共運輸工具傷害附加保險之承保範圍除定期班機外尚包括包機及加班機（台商春節返鄉之包機亦涵括在內）、小三通。包機定義為：航空公司用以招攬不特定團員報名，經當地政府登記許可行駛於固定航線之商用客機的定期包機及既有航線之加班機。但排除政府包機（如元首出訪、專機接送、僑民、軍包機接送放假軍人等）、及公民營企業或私人包機（如各壽險公司招待業務員於海外舉辦精英大會之包機等）。但其前提仍受限於保險期間內使用有效之承保信用卡支付全部票款（含公共運輸工具）或八成以上團費者之限制。
217,如果我只買機票，是不是一定要全額刷卡才有保險呢？,是的，唯有全額機票款以信用卡支付方可享有保障。
218,如果我遇到航空公司促銷，買到折扣價的機票，那是否享有保障？,只要折扣價機票的票面價格等於刷卡金額即享有保障。若為折價券+刷卡機票者，並未以信用卡支付機票全額是沒有理賠的。
219,使用悠遊卡自動加值搭乘捷運，可享有保障嗎？,悠遊卡（無論悠遊聯名卡或是有TSCC功能的信用卡）搭乘捷運不享有旅遊平安險、旅遊不便險的保障。因為信用卡提供悠遊卡是自動加值的服務，非直接購買捷運車票，故不在旅遊平安險的範圍。
220,我可以自費加保旅遊平安險嗎？,可透過本行網路銀行自行投保（智選保）→https://www.ctbcbank.com/twrbc/twrbc-invest/ot001/013target=_blank>請點此<
221,我要去哪裡索取旅平險理賠申請書？,「旅行平安險理賠申請書」下載→https://www.ctbcbank.com/html/applyform/CompensateA.pdftarget=_blank>請點此<。
222,機場停車回國要如何取車？,請您領妥行李出海關後，去電通知停車場，並於指定地點等候接駁車。各機場指定接送地點查詢→https://service.ctbcbank.com/FAQ/Page01?kmid=9854target=_blank>請點此<
223,使用信用卡機場停車服務是否需要提前預約？,只要您符合使用優惠資格及消費條件，即可直接前往本行合作之機場外圍停車場使用停車服務，提醒您，各停車場車位數量以現場為準，不提供車位保留服務，數量有限，停滿為止。
224,使用機場停車注意事項為何？,1.信用卡未攜帶、或已註銷，則須依照停車場標準收費，事後亦不得申請折扣退款。2.若您於卡片掛失期間使用機場停車服務時，請您於付款時來電02-27458080，由客服人員為您確認持卡身分，即可視為有效卡享有優惠。3.車輛需配合停車場依序排隊等候入場，若遇連續假期或尖峰時間提醒您提早出門，避免影響行程。4.優惠次數不可合併於同一個停車件使用，且每人每次使用優惠僅限一輛車。5.臨時停車不適用本行優惠，且優惠服務僅適用一般自小客車，營業車或中大型車輛概不接受服務。6.其他詳細注意事項，請參考官網說明→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_airportparking.html?id=TW_RB_CM_creditcard_000042target=_blank>請點此<
225,營業車(如：計程車)是否可使用機場停車服務？,不可以，本優惠服務僅適用一般自小客車，營業車概不接受服務。
226,已達到機場停車使用門檻，請問正、附卡人可以同時一起使用此項服務(各開一台車)嗎？,不可以，正附卡同時只能使用一台車服務。
227,出國預計使用機場停車服務10天，可以用其他家銀行卡的優惠扣7天，剩餘的天數改用中信卡折抵嗎？,不可以，同一停車事件，不得合併不同持卡人之次數，而且也不得合併其他銀行之優惠。
228,如貴行配合之機場停車場已無空位，停不到停車位怎麼辦？,如出國人潮眾多，本行配合停車場皆已全滿，為不影響您出國行程，則會建議您考量自行停放至其他尚有停車空位的停車場，但因非本行簽約廠商，故無法適用免費範圍，造成您不便之處，敬請見諒。
229,請問配合的機場停車場地點在哪裡？,機場停車服務地點→https://www.ctbcbank.com/twrbo/zh_tw/cc_index/cc_additional/cc_add_index/cc_add_airportparking.html?id=TW_RB_CM_creditcard_000042target=_blank>請點此<
230,為什麼機場停車需要留鑰匙？,因應停車場腹地、現場作業及車位不足時可以彈性運用停車空間，需請您將車鑰匙留給停車場服務人員。
231,中國信託信用卡的機場停車優惠為何？,1.白金卡刷：每次最高5天、一年共可享2次。(正附卡合併計)。2.商旅鈦金卡、商旅御璽卡、鈦金卡(不含中信酷玩卡)、御璽卡(不含享想生活卡)、寰遊美國運通卡、晶緻卡：每次最高7天、一年2次。(正附卡合併計)。3.商務卡：每次最高30天、一年不限次。(正附卡合併計)4.鼎極卡(99/05/01後核發之卡片)：每次最高30天、一年不限次。(正附卡合併計)5.卡友自費停車優惠方案：中信卡友超過或無免費停車使用天數時，刷卡繳交停車費可享中信卡友自費優惠價(依不同停車場廠商收取費用)，桃園停車場150～200元/日;台中停車場依現場實際公告收費；高雄停車場依現場實際公告收費，同時桃園嘟嘟房中正旗艦站停車場、高雄大鵬國際停車場又可享紅利即時折抵100點抵10元優惠，有多少折抵多少，可100%折抵！
232,紅利點數折抵機場停車費的折抵比例是多少？,1.僅限桃園嘟嘟房中正旗艦站、高雄大鵬停車場，可使用紅利點數進行折抵。2.每100點紅利點數可折抵機場停車費10元，有多少折抵多少，可100%折抵，折抵無上限。3.單持家扶、學學、鈦金卡及ANA聯名卡等無點數之卡片恕無法進行折抵。
233,附卡人使用機場停車，也可以使用紅利點數折抵機場停車費用嗎？,可以，正附卡皆可以使用紅利點數折抵停車費用。
234,如何登錄道路救援車號？,每戶限登錄兩部車號，車號登錄後需三個工作天設定生效。1.語音登錄：0800-000-685按9再按883。2.填寫「道路救援車號服務表單」：立即填寫服務表單→https://csccontact.ctbcbank.com/OptiForm/Home/Step1?pageid=15&amp;Channel=WEBBANKtarget=_blank>請點此<3.網路銀行登錄：立即登入申請→https://www.ctbcbank.com/twrbc/twrbc-card/ag010/010target=_blank>請點此<
235,請問使用語音登錄車輛廠牌時，如何轉換成數字？,A=01、B=02、C=03…以此類推如您的車號為AB-5188者，請輸入01025188。
236,請問道路救援的服務專線？,道路救援廠商：行遍天下道路申告專線：0800-000-685(來幫我)，手機也可以撥唷。
237,如果在高速公路被強排，可否申請道路救援退費？,高速公路上車輛拋錨，須符合規範(認卡、認車、認人、達消費金額)，且事先撥0800-000-685申告服務完成，但在拖吊車派車未到達前，被其他拖吊公司強行拖吊，可事後申請退費。
238,使用道路救援服務，如果現場需要支付費用，可以用哪種方式？,道路救援所需費用，可以「刷卡支付」，並請向司機索取道路救援管制單或收據，但加油之油資及停車場、收費站、國道ETC收費、過橋費需以現金支付。
239,如何使用信用卡道路救援服務？,"各卡需事先完成車籍登錄手續且上個月單月帳單或前3個月帳單平均新增消費滿NT3,000元，依不同卡等享有道路救援服務，說明如下：1.鼎極卡(指99年/5月/1日起申請者)/大中華攜手飛無限卡/ANA極緻卡/LEXUS商務世界卡可享一年3次免費使用，每次最多100公里。2.商務卡/商旅卡/鈦金卡(不含中信酷玩卡/Yahoo聯名卡)/御璽卡(不含中信享想卡/LINEPay信用卡)/晶緻卡/寰遊美國運通卡可享一年3次免費使用，每次最多50公里。3.每戶限登錄兩部車(正卡及附卡得登錄同一部車)，每「戶」一年可使用三次免費道路救援服務。※經申告救援後，現場服務以認卡、認車、認人為原則。"
